WORD	LABEL	ANNOTATORS	SENTENCE	SENTENCE_INDEX
gift	0	0	Parents , perhaps mindful of their daughters ' futures , are helping to make STEM dolls a `` burgeoning category , '' said Jackie Breyer , editor-in-chief for gift guide Toy Insider .	28
15-nation	0	0	With the start of the region 's high tourism season a few months away , some officials are calling for an emergency meeting of the 15-nation Caribbean Community , worried that the worsening seaweed influx could become a chronic dilemma for the globe 's most tourism-dependent region .	25
weakness	1	4	To patch up some weakness he saw in his own math skills , he took a course , `` Numerical Analysis , '' offered online by the Ecole Polytechnique Federale de Lausanne in Switzerland .	4
28-nation	0	0	The 28-nation bloc has been at odds with itself for months on how to deal with the influx that has seen more than 332,000 migrants enter so far this year .	1
pool	0	0	Organizers say the girls ' five-year friendship -- which spills over from the baseball field to Taylor Swift concerts , trips to the local swimming pool and other activities -- is an inspiring example of the meaningful bonds formed in programs like Buddy Baseball , in which young people with special needs are exposed to sports with the help of kids without similar challenges .	25
fatal	0	0	The infection is almost universally fatal : it kills more than 97 percent of its victims within days .	5
Earlier	0	0	Earlier , he paid special tribute to U.S. soldiers buried at the Normandy American Cemetery .	0
seat	0	0	She reclined her seat -- smacking Fine 's head and sparking an emotional explosion .	3
choose	0	0	Castañeda does n't choose participants based on grade-point average .	3
track	0	0	Scientists hope this collection , gathered over the past half-century , will help them track the health of fish populations and ocean conditions up and down the West Coast .	14
pitted	1	5	Neither Biden nor Xi made public mention of the clash over disputed territory that has pitted China against the United States and its Asian allies .	15
rains	0	0	`` Dry farming would be a hard life because you 're at the whim of the rains , '' said Jay Lund , director of the Center for Watershed Sciences at the University of California-Davis .	16
retained	1	7	Obama retained strong support among Democrats -- 77-18 percent approval -- and disdain from Republicans -- 90-8 percent disapproval .	1
marveled	1	6	Ray Yurkewycz perched on the rim of the Northwest 's most restless volcano and marveled at the primordial forces at work .	14
licenses	0	0	There is no specific law to prevent women from driving in the kingdom , but they can not apply for driving licenses and have previously been arrested on charges relating to public order or political protest after getting behind the wheel .	21
freshman	1	5	`` My mom thought it was a scam , '' said Michaeu , a 20-year-old freshman from Olympia , Washington .	15
merchant	1	3	At 22 , Mohamed is a newly minted cop on the beat , a community liaison officer making a courtesy call to a local merchant -- a time-tested neighborhood policing method .	24
spokesman	1	3	tweeted Muslim Brotherhood spokesman Gehad Haddad .	3
rehabilitate	1	9	She said the money will help build more than a dozen schools , rehabilitate hundreds of facilities and provide training and scholarships to help Pakistani girls `` fulfill their promise '' to become the next generation of doctors , teachers and entrepreneurs .	13
painfully	1	4	Nowhere was this more painfully obvious than in Japan four years ago , after a small squadron of robots was sent to assist workers at the devastated Fukushima Daiichi nuclear plant .	4
pups	0	0	The pups , hungry , struck out prematurely that winter .	1
Prior	0	0	Prior to 2010 , more than half of the cases came from Florida , Texas and other Southern states .	0
richer	0	0	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .	5
signs	0	0	WASHINGTON -- They walk in front of cars , and into tree limbs and street signs .	15
talked	0	0	`` If I had a choice , I would n't have ever talked about it , '' Christie said on Tuesday , confirming a news report that detailed his surgery nearly three months ago .	12
give	0	0	The software , called Hyperion , simulates the physics of light , which can make animated films more lifelike or give them an otherworldly look .	20
Hand	0	0	`` Dropped another prospect this AM due to his social media presence ... Actually glad I got to see the ` real ' person before we offered him , '' Hand tweeted .	30
enthralled	1	9	It comes after sales slowed and sometimes declined in the past 10 years as children -- much like their parents -- became more enthralled with technology .	23
biosphere	1	8	The high seas -- the vast roiling ocean that reaches beyond a coastal state 's 320-kilometer exclusive economic zone , or EEZ -- is Earth 's largest biosphere .	27
premature	1	7	He and other scientists at rural , high-altitude sites across the western U.S. have been documenting rising levels of ozone , which can trigger asthma attacks , worsen heart and lung disease and lead to premature deaths , even as emissions have plummeted nationwide over the last few decades .	35
Look	0	0	-LRB- `` Look ! '' -RRB-	2
show	0	0	But he was back in Lexington this month to open a show of his work at Mulberry &amp; Lime , a downtown home furnishings and gift shop that also sells work by local artists .	11
abandoned	1	8	Yan is one of a rapidly growing number of self-described `` orphan grandparents '' who feel personally or financially abandoned in a society that traditionally has treated its elders with a respect bordering on reverence .	19
cookies	0	0	NEW YORK -- As the Girl Scouts ' membership continues a sharp decline , its leaders are betting on technology to reverse the trend , including a major expansion of its year-old program enabling Girl Scout cookies to be sold via mobile apps and the girls ' personalized websites .	36
protester-erected	1	8	Violence broke out in more than 10 cities late Thursday and early Friday , and an 18-year-old man was killed and three people injured when they were hit by a car trying to drive around a protester-erected barricade in Ribeirao Preto , 185 miles north of Sao Paolo .	36
miles	0	0	ARIVACA , Ariz. -- There was a time when Maggie Milinovitch and her husband did n't agree on whether to give food and water to the weary border crossers who traversed the couple 's desert land a few miles north of the Mexico border in southern Arizona .	38
Clipper	0	0	&lt;img class="pull-right" src="https://newsela-test-files-f331e.s3.amazonaws.com/article_media/extra/20140526_HUMPBACK_FREED_1.jpg" /&gt; SAN JOSE , Calif. -- After a morning spent whale watching in Monterey Bay , the passengers on the Point Sur Clipper on April 27 did n't notice anything amiss when they first spotted the humpback .	22
worded	1	3	Other cities , including Des Moines , Iowa ; Montville , New Jersey ; Lincoln , Nebraska ; and Columbia City , Indiana , have taken less drastic measures , banning sledding only on the most dangerous hills , requiring helmets , outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk .	52
curriculums	1	9	The curriculums , taking hold as school budgets tighten and the numbers of farms in the United States decline , are rich in science and touted as stepping stones for college-bound students considering careers in everything from urban forestry to renewable natural resources and genetic engineering of crops , perhaps for giant agribusiness companies such as Monsanto , Dow , DuPont and Pioneer .	1
research	1	3	The chance encounter of a Norwegian research vessel with the largest waves ever recorded amid floating packs of Arctic ice shows how such rollers could reroute shipping , damage oil platforms and threaten coastal communities with erosion .	6
Ebola	0	0	In the wake of the confusion and missteps that surrounded the first U.S. Ebola diagnoses in Dallas last month , public health officials in New York were ready .	13
Air	0	0	`` What I 'd like to do is to see the first two years of community college free for everybody who is willing to work for it , '' Obama said in a video shot on Air Force One and posted Thursday on Facebook , ahead of his planned visit Friday to a community college and technical center in Knoxville , Tennessee , as part of a trip designed to preview his policy plans for 2015 .	36
cyberbullying	1	5	It 's been linked with violence , cyberbullying , school woes , obesity , lack of sleep and a host of other problems .	7
wizards	0	0	The stamps display images from some of the eight wildly popular films , including Harry reading his acceptance letter to Hogwarts , the school for young witches and wizards , and firing his wand in battle .	28
thumbs-up	0	0	One clip , dated Wednesday , showed a woman driving in the traditional veil , with only her eyes showing , as other motorists slowed and gave a thumbs-up sign .	28
learns	0	0	ARLINGTON , Va. -- Teacher Michael Coughlin sometimes learns about his students ' harrowing trips across the border alone and what they left behind from the essays they write .	8
determined	1	7	Most of these students at H-B Woodlawn Secondary Program are determined , he says , but `` they are also very scared because they do n't have certainty for their future here . ''	10
fashioned	1	4	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high-profile corruption scandals .	2
dexterity	1	9	Emergency-response robots have long suffered from having a range of mobility and dexterity comparable to a 1-year-old child and a level of autonomy generally limited to completing a single task at a time .	12
economist	1	8	`` It does n't take very much to destroy confidence , but it takes an awful lot to build it back , '' says Ian Bright , senior economist at ING , a global bank based in Amsterdam .	28
best-selling	0	0	She has authored a best-selling memoir , was featured this year on the cover of Time magazine 's `` 100 Most Influential People , '' and has starred in a viral Under Armour ad , twirling amid the reading of a rejection letter declaring she has `` the wrong body for ballet . ''	4
save	0	0	BERKELEY , Calif. -- To save their classmate who was deported to Mexico , the fourth-graders devised an epic plan .	5
saw	0	0	When she opened her credit card statement , she saw a slew of charges from Apple , totaling $ 600 in one day .	9
elementary	0	0	At a local elementary school this month , Kyle moved boxes crammed with pens , pencils , crayons , markers and mechanical pencils with his mom 's help .	3
knife	0	0	Julia A. Pierson , the first woman to hold the post , stepped down hours after an Army veteran who is accused of running into the White House with a knife in his pocket on Sept. 19 , pleaded not guilty to three criminal charges in federal court .	30
participates	1	6	The 17-year-old participates in an after-school program called Tech Connect in Orosi that teaches computer repair , tax preparation and community service .	2
bigger	0	0	`` This league is far bigger than any one owner , any one coach and any one player , '' Silver said .	5
raps	0	0	`` We sing , our music is the cuts that we bleed through , '' he raps .	16
plagued	1	7	Castro is among those experienced golfers plagued by an inexplicable phenomenon known as the yips .	6
facing	0	0	In an address transmitted on Brazilian television and radio Friday night , Rousseff asked for understanding about `` the political and economic limitations '' the country is facing and beseeched Brazilians not `` to put at risk all that we 've achieved .	27
televised	1	6	`` We think we 've got a great case to make , '' the Humane Society 's chief executive , Wayne Pacelle , said in a heated televised debate Oct. 14 .	27
interim	0	0	Hours earlier , Egypt 's new interim leadership had narrowed in on a compromise candidate to serve as the next prime minister .	6
white	0	0	Copeland , 32 , has become one of America 's most famous female athletes , revered for her unlikely ascendance in an arts world notorious for showcasing only lithe white ballerinas .	29
Attorney	0	0	Attorney General Eric Holder said the North Carolina law imposes several `` troubling new restrictions '' on voters including reducing early voting days , eliminating same-day registration during the early-voting period and imposing a restrictive photo-identification requirement for in-person voting .	0
subdued	1	7	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .	20
bachelor	1	5	He received 34 scholarships worth $ 1.3 million -- enough to get his bachelor 's , his master 's , and his doctorate , plus cover his living expenses with some left over to invest .	13
landscapes	1	3	Nudged by local governments worried about water shortages , home builders and homeowners associations are showing increased willingness to embrace the drought-tolerant landscapes that more naturally suit California .	22
share	0	0	There were too many agencies and politicians with rules that did n't seem to share their urgency .	14
grooms	1	3	For the people on the Solomon Islands , it 's long been about the teeth : Necklaces made of dolphin teeth are `` bride prizes , '' given by grooms to their betrothed .	29
gang	0	0	`` The entire gang involved in the murder attempt ... has been busted , '' Bajwa said , adding that the `` terrorists '' were part of Tehrik-e-Taliban , an umbrella group encompassing militant organizations across the tribal areas .	3
businesses	0	0	The majority of that is due to consumers -LRB- both families and food businesses -RRB- , who buy fresh and frozen fish , but never end up eating it or selling it .	13
failure	0	0	Toyoda , a cousin of the Japanese automaker 's founder Kiichiro Toyoda , died of heart failure at Toyota Memorial Hospital in Toyota city , central Japan .	16
shipwreck	1	3	Now an iron ballast and a wooden pulley block retrieved from the shipwreck of the São José-Paquete de Africa are coming to Washington , where next year they will be on view in an exhibition on slavery in the new National Museum of African American History and Culture .	12
foremost	1	8	The visit by a member of Japan 's foremost manufacturing family changed the way Toyota Motor Corp. produced cars , altering the global auto industry .	8
same-day	0	0	Attorney General Eric Holder said the North Carolina law imposes several `` troubling new restrictions '' on voters including reducing early voting days , eliminating same-day registration during the early-voting period and imposing a restrictive photo-identification requirement for in-person voting .	25
material	1	3	As the gap between the world 's top 1 percent and the rest has increased to historic highs in recent years , fairness in material payoffs or inequality has become one of the most important issues of our time .	24
firearm	1	3	`` It was clear that she was a beginner , and you do n't start a beginner in that type of firearm , '' said Jensen , who watched a widely circulated video of the fatal lesson .	21
mileage	1	6	Only two of the 10 men tried were convicted , but the officials chose not to clear up confusion caused by inaccurate media reporting in April -- probably to gain political mileage for acting decisively against Malala 's attackers .	31
responsibility	1	4	-LRB- Felipe -RRB- is mature , well-prepared and has the sense of responsibility necessary to become head of state and launch a new stage of hope , '' Juan Carlos said .	12
minister	0	0	Hours earlier , Egypt 's new interim leadership had narrowed in on a compromise candidate to serve as the next prime minister .	21
laughter	0	0	Yet only in recent years has the significance of Twain 's time in the Mother Lode come into sharper relief , in particular the transformative role the friendships he developed here played in his decision to abandon youthful dreams of a career piloting paddleboats down the mighty Mississippi River and instead `` excite the laughter of God 's creatures . ''	54
threatened	0	0	The International Union for Conservation of Nature Red List of Threatened Species considers 12 percent of grouper , 11 percent of tuna and billfish and 24 percent of shark and ray species to be threatened with extinction .	34
sensation	1	9	It will also be a wink to his craft , the one he uses to capture this city , his `` beautiful ghetto , '' in powerful black-and-white photos that have made him a surprise media sensation .	36
grant	0	0	That issue will dominate much of Emanuel 's time in the coming weeks , as he works to persuade state lawmakers in Springfield to grant the city pension relief and a Chicago-owned casino to help stabilize the city 's finances .	24
seeking	0	0	So precious was that newfound freedom that on Nov. 24 he applied for asylum in the United States , joining a surge of Iraqis seeking asylum since the extremist Islamic State group 's rise .	24
Type	0	0	Carroll has Type 1 diabetes and wears a pump that delivers insulin directly into his body .	2
condition	0	0	The name might make the condition sound trivial , but the yips can ruin a professional athlete 's career .	5
associations	1	4	The capital 's turf tradition is deeply rooted and is even enshrined in the bylaws of various homeowners associations .	18
offers	0	0	The movie is being made in Louisiana largely because the state offers unlimited tax credits to entice film companies to shoot on location there .	11
deer	0	0	Their dams raise water tables , nourishing shrubbery alongside streams that stabilize eroding banks , and add habitat for birds and deer .	21
spreading	1	6	The McCluer Pommies , a team of 12 at McCluer High School in suburban Florissant , near Ferguson , Missouri , take their job of spreading spirit at the high school and in the community seriously .	25
movement	0	0	The media attention helped turn scattered protests into a nationwide movement .	10
doctoral	1	5	Now a doctoral candidate in the University of Houston 's Language Arts program , she has spent much of her life thinking about the power and dangers of nuanced language .	2
pizza	0	0	One would require all grain servings to be rich in whole grains -- or more than 50 percent whole-grain -- affecting such items as pastas , bread , rolls and pizza crusts .	30
hosts	0	0	The world will see just how far robots have advanced in the subsequent years when the U.S. Defense Advanced Research Projects Agency -LRB- DARPA -RRB- hosts the final round of a robotics competition aimed at building autonomous machines that can step -- or roll -- in when disasters strike .	25
agility	1	6	The act of walking may not seem like a feat of agility , balance , strength and brainpower .	11
cheeseburgers	0	0	Because if you shut off the supply of 24-ounce fountain drinks , bacon cheeseburgers , fried chicken and stuffed tacos , the children who frequently eat at fast-food restaurants will go home and do what they generally do when not eating at a fast-food restaurant : They 'll snarf cookies and chips , chug sugar-sweetened soda from a bottle , and heat up frozen pizzas .	13
state	0	0	The states could become the first to pass such a referendum ; Washington state and California rejected similar measures after expensive campaigns in 2013 and 2012 , respectively .	13
forced	0	0	The downpour forced him to cancel a meeting at his favorite coffee shop because his van had broken down the day before .	2
fallen	0	0	ANCHORAGE , Alaska -- Many middle school students in south-central Alaska spent spring break playing video games , skiing in what little snow has fallen or just enjoying a lazy week away from school .	24
delivers	0	0	In the midst of the stirring `` Glory , '' the musical centerpiece of the Oscar-nominated movie `` Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	24
streaming	1	4	The gaming industry has exploded in recent years , with streaming sites such as Twitch and YouTube creating celebrities out of the best players and launching careers for people who are expert at talking about the games .	10
real-world	0	0	The lack of any tangible clue to its fate was eerie , unsettling , bizarre -- a real-world echo of the TV show `` Lost '' and the wayward-jetliner mystery at the heart of its story .	17
due	0	0	For the roughly 1 million Americans who have lost a leg or part of one due to injury or disease , Vawter and his robotic leg offer the hope that future prosthetics might return the feel of a natural gait , kicking a soccer ball or climbing into a car without hoisting an inert artificial limb into the vehicle .	15
deliberately	1	6	As an added challenge , DARPA will deliberately degrade communication links between robots and operators for each team as it competes in order to create a scenario closer to the one responders experienced in Fukushima .	7
severely	1	4	The archaeological site , which was severely destroyed during railroad construction , hosted both Neanderthals and humans .	6
long-term	0	0	`` These will be part of the list of ` I 've got to see this , ' '' predicted Lonnie Bunch , the museum 's founding director , who was in South Africa for a formal announcement Monday of the long-term loan of the objects from the Iziko Museums .	41
briefing	0	0	In the latest potential threat , officials said , a private security guard armed with a pistol rode in an elevator with the president during a Sept. 16 visit to the Centers for Disease Control and Prevention in Atlanta for a briefing on Ebola , surprising Secret Service agents and violating agency rules over who can carry a weapon near him .	41
differentiate	1	6	There is a scientific belief that the cerebral cortex is the part of the brain that `` makes us human , '' and that the two hemispheres of the cortex differentiate the creative thinkers from the logical thinkers -LRB- the `` right-brained '' from the `` left-brained '' -RRB- .	30
revelers	1	8	Motorcycles rest on kickstands beside an ancient lava flow while revelers talk excitedly about alien worlds , teleportation and the creation of life .	10
dubbed	0	0	Now , Gray -- since dubbed `` the Million Dollar Scholar '' -- has found a way to help other teens find scholarship money .	5
selling	0	0	The majority of that is due to consumers -LRB- both families and food businesses -RRB- , who buy fresh and frozen fish , but never end up eating it or selling it .	30
