WORD	LABEL	SENTENCE	SENTENCE_INDEX
owlets	1	Owl catcher Hussein Mduduzi , jumping from roof strut to roof strut , managed to catch two owlets , but the eight grown owls flew off .	17
declared	1	`` We are a people who declared that we are all created equal -- and the love we commit to one another must be equal as well , '' he said in a statement .	6
sharply	1	The disapproval number was up sharply from the 47 percent reading in September and tops the previous high of 52 percent in September 2011 .	5
predatory	1	And it 's also about time , based on the findings of the Census of Marine Life , a decadelong survey of the global oceans , which estimated that 90 percent of large predatory fishes , such as tuna , billfish and swordfish , have disappeared from the seas .	33
read	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .	28
start	0	They 're arguing that as sea ice continues to melt in the Arctic , passageways are opening for certain animals - heretofore restricted by the ice - to start moving through , enabling them to cross into new territories .	28
soldiers	0	COLLEVILLE-SUR-MER , France -- Gone are the screaming shells , seasick soldiers and bloodied waters of 1944 .	11
protesting	1	Fifty-four years ago , the eight college students and one civil rights organizer were convicted of trespassing and protesting at McCrory variety store in Rock Hill .	18
Capper	0	`` There 's no way around buying them , '' said Capper , a 41-year-old single mother who does n't work because of a disability .	11
burgeoning	1	Parents , perhaps mindful of their daughters ' futures , are helping to make STEM dolls a `` burgeoning category , '' said Jackie Breyer , editor-in-chief for gift guide Toy Insider .	18
Lost	0	Lost in the debate about online learning , however , is its impact in far-flung regions of the globe , places like the electrical engineering department at the University of El Salvador and the modest walk-up apartment of the Palacios family , above the medical clinic of Dr. Roberto Palacios Navarro , Roosemberth 's father .	0
identification	1	WASHINGTON - The Justice Department sued North Carolina on Monday in a bid to block a new state law that forces voters to present a photo identification before casting a ballot and limits early voting , arguing the measure discriminates against minorities .	26
foundation	1	`` Harry Potter is a perfect example , '' said Ken Martin , executive director of the American Philatelic Society , a nonprofit stamp-collecting foundation that claims 44,000 members .	24
sons	0	He also referred to `` the sons of former slaves and the sons of former slave owners , '' saying he dreamed they would `` meet at the table of brotherhood . ''	6
appears	0	The 2015 seaweed invasion appears to be a bumper crop , with a number of shorelines so severely hit that some tourists have canceled summer trips and lawmakers on Tobago have termed it a `` natural disaster . ''	4
went	0	Emerging from a private meeting with President Xi Jinping that went considerably longer than scheduled , Biden appeared somber and subdued .	10
together	0	Farther inside the pack there are kilometers-wide chunks that have been blown together into a nearly solid mass .	12
control	0	But it is Vawter 's ability to control the prosthetic with his thoughts that makes the latest case remarkable .	7
trafficking	1	The ivory ban is a key component of a new , national strategy for combating wildlife trafficking , unveiled Tuesday by the White House , seven months after President Barack Obama issued a call to action during a visit to Tanzania .	16
inability	1	According to a report published Monday in the journal Pediatrics , diaper need -- the inability to afford to keep a child in clean diapers -- affects a `` substantial '' number of low-income Americans , with nearly 30 percent of mothers questioned in New Haven , Conn. , reporting that they did not have enough for their children .	15
attempting	1	`` I 'm not attempting to tell a narrative , '' Bunch said .	4
knows	0	But Germany , another major creditor to Greece , is resisting , even though it knows better than most what debt relief can achieve .	15
segregation	1	Five million public school students in Texas will begin using new social studies textbooks this fall based on state academic standards that barely address racial segregation .	25
debate	0	Lost in the debate about online learning , however , is its impact in far-flung regions of the globe , places like the electrical engineering department at the University of El Salvador and the modest walk-up apartment of the Palacios family , above the medical clinic of Dr. Roberto Palacios Navarro , Roosemberth 's father .	3
problems	0	The mayor 's decision to home in on one of Chicago 's most intractable problems meant he made only passing reference to another : crumbling finances that have left the city 's credit rated as `` junk '' and its pension funds woefully unfunded .	14
sun-blasted	1	On this sun-blasted tract of sand 14 miles south of Baker , Calif. , molecular biologist and -LSB- entrepreneur -RSB- -LRB- https://www.newsela.com/?tag=entrepreneur -RRB- J. Craig Venter is field-testing a technology that he says will revolutionize the search for extraterrestrial life .	2
accumulating	1	`` Over the last several days , we 've seen recent and accumulating reports raising questions about the performance of the agency , and the president concluded that new leadership of that agency was required , '' said Josh Earnest , the White House spokesman .	12
teams	0	A total of 25 international teams will compete June 5 and 6 to win one of three cash prizes totaling $ 3.5 million .	5
triggering	1	Five years after U.S. investment bank Lehman Brothers collapsed , triggering a global financial crisis and shattering confidence worldwide , families in countries as varied as the United States , Japan , the United Kingdom and Germany remain hunkered down , too spooked and distrustful to take chances with their money .	10
high-speed	0	Eight 2.3-ton electric motors installed on 1 WTC 's roof power the high-speed elevators .	12
looters	1	Violence spread in central Durban on Tuesday , after looters attacked shops owned by immigrants , some of whom armed themselves with machetes and knives .	9
precious	1	So precious was that newfound freedom that on Nov. 24 he applied for asylum in the United States , joining a surge of Iraqis seeking asylum since the extremist Islamic State group 's rise .	1
sampling	0	That 's a sampling of the four dozen comments and protests on the website of the State Water Resources Control Board about emergency water management after the driest winter in decades .	3
time	0	ARIVACA , Ariz. -- There was a time when Maggie Milinovitch and her husband did n't agree on whether to give food and water to the weary border crossers who traversed the couple 's desert land a few miles north of the Mexico border in southern Arizona .	7
crossed	0	WASHINGTON -- Florida immigration courts , swamped by a growing stream of unaccompanied children who illegally crossed the Southwestern border , are creating `` rocket dockets '' to quickly decide whether they should be sent back to their turbulent homelands .	16
shown	0	WASHINGTON -- Whether belting out lyrics to Al Green 's `` Let 's Stay Together , '' leading a mournful congregation through `` Amazing Grace , '' or tweeting his Spotify music playlist that includes Stevie Wonder and Nina Simone , President Barack Obama has shown that he 's a pretty soulful guy .	45
literary	1	The passage is , of course , the literary skeleton of what down-on-his-luck Samuel Clemens would transform into literary gold , a wildly improbable story originally called Jim Smiley and His Jumping Frog , '' which introduced much of the 19th-century world to Mark Twain .	8
industrial	1	New research by the team that coined the term attempts to determine how severely predatory fish populations have declined worldwide since the start of industrial fishing .	24
vast	1	In the vast majority of cases , it turned out students did not contract the bugs in the classroom .	2
personalized	1	NEW YORK -- As the Girl Scouts ' membership continues a sharp decline , its leaders are betting on technology to reverse the trend , including a major expansion of its year-old program enabling Girl Scout cookies to be sold via mobile apps and the girls ' personalized websites .	47
entrepreneurship	1	But with a passion for -LSB- entrepreneurship -RSB- -LRB- https://www.newsela.com/?tag=entrepreneur -RRB- , the Birmingham , Ala. , student dreamed of attending a college in the Northeast so he could be close to New York City and other major business centers .	6
Banks	0	The third time he got into a scuffle , something different happened : A counselor at Augustus Hawkins High School in South Los Angeles pulled Banks and the other teen aside and told them they needed to talk .	25
intuitively	1	That universal truth is something that children seem to understand almost intuitively at a young age , but the path through which they develop a sense of what 's fair and what is n't -- and how they act on injustices -- is something that has been a puzzle for social scientists .	11
small	0	The Mighty Makers line from K'nex , for example , includes a construction set in which two small female dolls get to build their dream house from the ground up .	17
Star	0	CORNUCOPIA , Wis. -- On some days , Kevin Hunt stands at his Star North gas station in this eye-blink of a town on mighty Lake Superior , marveling at Mother Nature and his own dumb luck .	13
City	0	`` The more we looked at the data , the more we realized the situation is bleak , '' Willits City Manager Adrienne Moore said .	20
longstanding	1	It expands the academy 's longstanding recommendations on banning televisions from children 's and teens ' bedrooms and limiting entertainment screen time to no more than two hours daily .	5
similarities	1	`` I realized we had a lot of similarities , '' said Banks , 17 , who said his father is involved in a gang and his mother jobless .	8
MAGADI	0	MAGADI , Kenya -- These are tough times for African vultures .	0
remains	0	It remains the only state in the Lower 48 where hunters may use bait , traps and dogs to nab bears .	1
rule	0	The vice president drew an implicit contrast between the authoritarian rule of China 's government and the liberal , permissive intellectual culture he described in the United States .	10
vice	0	The vice president drew an implicit contrast between the authoritarian rule of China 's government and the liberal , permissive intellectual culture he described in the United States .	1
attained	1	More than other European monarchs , he had to fight for every scrap of popularity he attained .	16
televisions	0	It expands the academy 's longstanding recommendations on banning televisions from children 's and teens ' bedrooms and limiting entertainment screen time to no more than two hours daily .	9
proposed	1	Last fall , China 's State Council proposed the nation 's toughest restrictions yet on indoor smoking and the marketing of tobacco .	7
activities	0	Despite warnings that the demonstrations could cause serious damage to Hong Kong 's economy and reputation as a stable Asian financial hub , the city 's stock exchange seemed to take the day 's activities in stride , falling less than 2 percent .	34
woman	0	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .	9
interior	1	OXKUTZCAB , Mexico -- Wander into Cafe Rex in Oxkutzcab , Mexico , deep in the interior of the Yucatan Peninsula , and some odd things pop out on the menu .	16
sequencing	1	Techniques ranging from whole genome sequencing to the ability to create artificial DNA labels that indicate points of origin are surprisingly affordable now , and have led to novel global collaborations and inventions .	5
discover	0	As more people realize they can grow a significant amount of vegetables on a small parcel of land , they discover that `` they have the ability to take back their food system . ''	20
teach	0	But among those who enjoy and teach the use of firearms , a different question has emerged : What 's the proper way to teach children about guns ?	6
rate	0	A new study on snakebite rates in Costa Rica has found that the bite rate shoots up during El Nino -- at both the hot and cold parts of the cycle -- and that the problem disproportionately affects poor , rural populations .	14
lady	0	WASHINGTON -- Welcoming guests with the traditional Muslim greeting of `` asalaam alaikum , '' first lady Michelle Obama announced a U.S. pledge of $ 70 million to help educate 200,000 adolescent girls in Pakistan .	16
screens	0	They are sitting on ergonomic swivel chairs in front of computer screens and tapping away at keyboards and mouses as they try to kill rival factions on the military sci-fi strategy game StarCraft .	11
bloc	1	As Latino outreach director , Praeli spends her days at Clinton 's headquarters in Brooklyn poring over polling data , winning endorsements from Latino leaders and fine-tuning the campaign 's messages to reach the nation 's fastest-growing bloc of voters .	37
reigned	1	But there have also been clouds for the monarch , who has reigned since 1975 .	12
purchase	0	Those who want the label contend that consumers are entitled to know whether their food contains GMOs so that they can make informed decisions about their purchase .	26
theater	0	The recall was the first in the 100 years since Colorado adopted the constitutional provision and grew out of sweeping measures passed last winter after mass shootings at a school in Newtown , Connecticut , and at a movie theater in Aurora , outside Denver .	39
environmental	1	The U.S. Fish and Wildlife Service is considering an environmental group 's request to set aside 110,000 square miles for grizzly bears in California , Arizona , New Mexico , Utah and Colorado .	9
researchers	1	Pedestrian injuries due to cellphone use are up 35 percent since 2010 , according to federal emergency room data reviewed by Stateline , and some researchers blame at least 10 percent of the 78,000 pedestrian injuries in the United States in 2012 on mobile device distraction .	25
weeks-long	0	That led to a weeks-long rescue effort involving federal and state agencies , six nonprofits , several businesses and dozens of volunteers , who battled rough seas from Monterey to Santa Barbara to give the humpback a shot at survival .	4
previous	0	Where this and the other rocky planets now orbit there may have first been a previous generation of worlds destined to be bigger , gas-shrouded , utterly uninhabitable orbs .	15
swigged	1	On another day , the same volunteers swigged a `` placebo '' energy drink that had the same taste , texture and nutrients as Rockstar but none of the caffeine , taurine or other stimulants .	7
blistering	1	Blistering audits have faulted efforts to fight what one official called a `` rat crisis . ''	0
troubled	1	CHICAGO -- On her toughest days , Selena Berry would look to the sky and imagine herself soaring high in the clouds above her troubled Englewood neighborhood and hardscrabble middle school .	24
casting	1	WASHINGTON - The Justice Department sued North Carolina on Monday in a bid to block a new state law that forces voters to present a photo identification before casting a ballot and limits early voting , arguing the measure discriminates against minorities .	28
Children	0	`` Children giving to children is really valuable , '' Oppenheimer said , praising Kyle 's ability not only to appeal to his peers but to motivate students in lower grades to be part of the project .	1
study	0	Every year Aleksey Marchenko of The University Center in Svalbard , a Norwegian archipelago north of Scandinavia , leads students across the chilly waters of the Barents Sea to study the seasonal ice pack .	29
104th	0	He told NAACP members attending the group 's 104th annual convention to peacefully confront `` the unfortunate stereotypes '' that sometimes lead to police suspicion and private misjudgment .	8
irrigated	1	Many are small farmers and vintners who either lack irrigated water or believe that dry farming produces better-tasting fruits and vegetables .	9
deliberate	1	The remains of people who lived even earlier had been found , but archaeologists assumed they were preserved naturally from burial in the hot and dry desert sand and not through any deliberate mummification by their survivors .	32
