WORD	LABEL	ANNOTATORS	SENTENCE	SENTENCE_INDEX
baseball	0	0	Today , Giambalvo and Dungan , both 18 , count down the days each week until they can see each other again on a baseball field for five Tuesdays in July and August .	24
racial	1	5	Five million public school students in Texas will begin using new social studies textbooks this fall based on state academic standards that barely address racial segregation .	24
arts	0	0	Copeland , 32 , has become one of America 's most famous female athletes , revered for her unlikely ascendance in an arts world notorious for showcasing only lithe white ballerinas .	22
trafficking	1	4	The ivory ban is a key component of a new , national strategy for combating wildlife trafficking , unveiled Tuesday by the White House , seven months after President Barack Obama issued a call to action during a visit to Tanzania .	16
civilization	1	8	It is often talked about as the basis of human civilization , and it affects every aspect of our lives .	10
hold	0	0	The curriculums , taking hold as school budgets tighten and the numbers of farms in the United States decline , are rich in science and touted as stepping stones for college-bound students considering careers in everything from urban forestry to renewable natural resources and genetic engineering of crops , perhaps for giant agribusiness companies such as Monsanto , Dow , DuPont and Pioneer .	4
Thousands	0	0	Thousands of onlookers applauded .	0
girls	0	0	CHICAGO -- On a recent afternoon at Chicago 's Dewey Elementary Academy of Fine Arts , Ladon Brumfield asked a group of 9 - and 10-year-old African-American girls to define beauty .	27
rates	0	0	Twice as many Latinos will be eligible to vote next year as in 2000 , but Latinos tend to turn out at lower rates than other groups , in part because many young Latinos are n't engaged in politics .	23
general	0	0	CHICAGO -- For years a general complaint about dolls has been that they send the wrong messages to children , whether it 's promoting an unrealistic body image or reinforcing stereotypes about girly interests .	5
recommendations	1	7	The recommendations are bound to prompt eye-rolling and LOLs from many teens but an influential pediatricians group says parents need to know that unrestricted media use can have serious consequences .	1
sharing	0	0	Using the WiFi on his camera , he uploaded dozens of his raw photos to Instagram and Twitter , sharing them with his several thousand followers in real time .	19
thinks	0	0	The International Monetary Fund certainly thinks so , according to a new report in which it argues Greece should get help .	5
reviews	0	0	If the agency decides to proceed with reintroducing grizzlies , the next step will be a lengthy process that includes scientific reviews and public hearings that could take years .	21
Take	0	0	`` Take -LRB- it -RRB- serious our friends r killed like Cockroaches . ''	1
meaningful	1	7	Organizers say the girls ' five-year friendship -- which spills over from the baseball field to Taylor Swift concerts , trips to the local swimming pool and other activities -- is an inspiring example of the meaningful bonds formed in programs like Buddy Baseball , in which young people with special needs are exposed to sports with the help of kids without similar challenges .	36
northeast	0	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .	39
unjustifiably	1	9	The 9th Circuit said the case would have to be retried because an obviously gay juror was unjustifiably excluded from the jury .	17
complete	0	0	How about a Lottie astronomer doll complete with a telescope , tripod and fact sheet about notable women stargazers , or a fossil hunter armed with a magnifying glass , geology hammer and ammonite fossils ?	6
recession	1	3	Virginia was one of many states that moved to offer more personal-finance courses on the heels of the Great Recession , hoping to instill practical money-management skills to help the next generation avoid the pitfalls that many of their parents experienced .	19
asthma	1	4	He and other scientists at rural , high-altitude sites across the western U.S. have been documenting rising levels of ozone , which can trigger asthma attacks , worsen heart and lung disease and lead to premature deaths , even as emissions have plummeted nationwide over the last few decades .	24
populist	1	6	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high-profile corruption scandals .	6
gentler	1	5	As many cities and states promote walkable neighborhoods , in part to attract more young people , some also are levying fines on distracted walkers and lowering speed limits to make streets gentler for the inattentive .	32
stronghold	1	5	The army is currently waging a major offensive against the extremist group in North Waziristan , a tribal region along the border with Afghanistan that has long been a militant stronghold .	30
resulting	0	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .	19
gained	0	0	Texas , which gained four seats in the last round of congressional reapportionment , lagged behind only North Dakota and the District of Columbia in the rate of population growth since the 2010 census .	3
sleep	0	0	It 's been linked with violence , cyberbullying , school woes , obesity , lack of sleep and a host of other problems .	16
clashes	1	4	Four people were killed -- three of them outside a Brotherhood office in Assiut -- in clashes in Upper Egypt .	16
violating	0	0	In the latest potential threat , officials said , a private security guard armed with a pistol rode in an elevator with the president during a Sept. 16 visit to the Centers for Disease Control and Prevention in Atlanta for a briefing on Ebola , surprising Secret Service agents and violating agency rules over who can carry a weapon near him .	50
nonetheless	1	5	But nonetheless , the 24-year-old civil engineer from Baghdad plans to fly to Turkey next week in order to join the surge of migrants and refugees making a bid for a better life in Europe .	1
tend	0	0	Second inaugural speeches tend to be trickier for politicians than the first , where the formula often is to highlight an agenda heading into office .	3
encountering	1	6	Officials had anticipated encountering a substantial cache : The dig is near the La Brea Tar Pits and features a sandy matrix with naturally occurring asphalt -- a fossil haven .	3
Awards	0	0	`` Glory '' won best original song at the Academy Awards on Sunday .	10
scholarship	0	0	Now , Gray -- since dubbed `` the Million Dollar Scholar '' -- has found a way to help other teens find scholarship money .	22
wondering	0	0	Now , as a torrent of refugees flows out of the Middle East and into Europe , many people are wondering why rich Gulf nations and the United States are not doing more to help .	20
Pacific	0	0	The case is just one example in a recent spate of animals turning up in places they do n't belong - generally , either Pacific species showing up in the Atlantic , or vice versa .	24
untouchable	1	7	Untouchable .	0
somewhere	0	0	NEW YORK -- City officials here had long worried that a patient infected with Ebola would eventually appear somewhere in this dense , bustling and chaotic city .	18
jail	0	0	Inspired by their courage , demonstrators across the South adopted their `` jail not bail '' tactic and filled jail cells .	12
jaded	1	9	And even jaded New Yorkers were both disgusted and a little impressed by `` Pizza Rat , '' the plucky rodent in a recent viral YouTube clip seen dragging a large cheese slice down a subway stairwell .	2
decision	0	0	The mayor 's decision to home in on one of Chicago 's most intractable problems meant he made only passing reference to another : crumbling finances that have left the city 's credit rated as `` junk '' and its pension funds woefully unfunded .	3
great-grandchildren	0	0	Despite gray hair , wrinkles and 17 great-grandchildren , Dugan has no intention of going gentle into that good night .	7
echo	1	3	The lack of any tangible clue to its fate was eerie , unsettling , bizarre -- a real-world echo of the TV show `` Lost '' and the wayward-jetliner mystery at the heart of its story .	18
swiveled	0	0	Their heart-shaped faces swiveled about , gazing with large , dark eyes at the creature who 'd taken them from their home .	3
boulders	0	0	Rocks and boulders sloughed off the crater walls , kicking up plumes of dust as they clattered down the near-vertical slopes .	2
forget	0	0	WASHINGTON -- Chris Carroll wo n't forget the first time he saw someone hack into an insulin pump and make it deliver a lethal dose .	6
R&amp;B	0	0	The president and his wife , Michelle , also have prominently showcased such R&amp;B and soul talent as Patti LaBelle and B.B. King during state dinners , music history events and the annual Easter Egg Roll .	13
immense	1	6	What they found that Sunday in 1994 still fills Chauvet 's voice with wonder : an immense cave covered with prehistoric paintings of horses , mammoths and rhinos -- paintings so vivid , he says , it felt like the Stone Age artists had just moments ago put down their ochre and walked away .	16
advocates	1	7	The coalition fighting against labeling has also included large grocery chains and some farmers , and some of the labeling advocates are sizable companies in their own right .	20
minorities	1	8	WASHINGTON - The Justice Department sued North Carolina on Monday in a bid to block a new state law that forces voters to present a photo identification before casting a ballot and limits early voting , arguing the measure discriminates against minorities .	41
hosted	0	0	Father-daughter dances and balls date back decades , and were especially popular in churches that hosted the events to promote the special bond between fathers and their daughters .	15
harmful	0	0	A massive bloom of microscopic algae -- which produced a natural toxin called domoic acid that is harmful to wildlife and fish -- in the Pacific Ocean is threatening the crab industry during a time when many fishing outfits make their most money .	17
side	0	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .	16
slows	0	0	Their gnawing and nesting promotes richer soil and slows down water , improving imperiled fish habitat .	8
activists	1	5	In its most basic terms , the ballot measures pit coalitions of foodies , organic farmers and nutrition activists against many of the nation 's leading manufacturers including the biotechnology company Monsanto , Kraft Foods and Coca-Cola .	18
passers-by	1	8	They are designed and decorated to the owner 's -- or steward 's -- taste , and stand on lawns , in parks and gardens , even in coffee shops where passers-by of all ages can `` take a book , leave a book . ''	31
Rocky	0	0	SHANGHAI -- For two days , Rocky had been playing video games in the tiny apartment he shares with three other men in Shanghai , a city of 23 million .	6
sargassum	1	8	Clumps of the brownish seaweed known as sargassum have long washed up on Caribbean coastlines , but researchers say the algae blooms have exploded in extent and frequency in recent years .	7
Many	0	0	ANCHORAGE , Alaska -- Many middle school students in south-central Alaska spent spring break playing video games , skiing in what little snow has fallen or just enjoying a lazy week away from school .	4
paleontologists	1	8	The 4-year-old from southeast Arlington was searching for fish fossils in Mansfield with his dad , Tim , last fall when the preschooler came back with a bone that has excited even seasoned paleontologists from Southern Methodist University .	33
grade-point	0	0	Castañeda does n't choose participants based on grade-point average .	7
stamp-collecting	0	0	`` Harry Potter is a perfect example , '' said Ken Martin , executive director of the American Philatelic Society , a nonprofit stamp-collecting foundation that claims 44,000 members .	23
stalactites	1	7	Experts even recreated stalactites and stalagmites from the original site , as well as the cool temperatures and thick smell of humidity .	3
Farmers	0	0	The scientists were initially skeptical about what they would find on the construction site near the new Sprouts Farmers Market less than 100 yards from busy Matlock Road .	18
OHSH-kootz-CAHB	0	0	Like towns across southern Mexico and Central America , migration has changed the face of Oxkutzcab -LRB- pronounced OHSH-kootz-CAHB -RRB- , which lies a three-hour drive south of Merida , Yucatan 's state capital .	18
downfall	1	6	The world of massive open online courses , or MOOCs , is roiling academia at universities in the United States , where they are labeled either the future or the downfall of higher education .	30
whim	1	6	`` Dry farming would be a hard life because you 're at the whim of the rains , '' said Jay Lund , director of the Center for Watershed Sciences at the University of California-Davis .	13
painstaking	1	7	A re-entry ticket involved painstaking inspections , with parents required to prove that not a single hitchhiker resided on a child 's head .	4
